Nome,Categoria,Unità di riferimento,"Energia, kilojoules (kJ)","Energia, calorie (kcal)","Lipidi, totali (g)","Acidi grassi, saturi (g)","Acidi grassi, monoinsaturi (g)","Acidi grassi, polinsaturi (g)",Colesterolo (mg),"Glucidi, disponibili (g)",Zuccheri (g),Amido (g),Fibra alimentare (g),Proteine (g),Sale (NaCl) (g),Alcool (g),Acqua (g),"Attività di vitamina A, RE (µg-RE)","Attività di vitamina A, RAE (µg-RE)",Retinolo (µg),Attività di beta-carotene (µg-BCE),Beta-carotene (µg),Vitamina B1 (tiamina) (mg),Vitamina B2 (riboflavina) (mg),Vitamina B6 (piridossina) (mg),Vitamina B12 (cobalamina) (µg),Niacina (mg),Folati (µg),Acido pantotenico (mg),Vitamina C (acido ascorbico) (mg),Vitamina D (calciferolo) (µg),Potassio (K) (mg),Sodio (Na) (mg),Cloro (Cl) (mg),Calcio (Ca) (mg),Magnesio (Mg) (mg),Fosforo (P) (mg),Ferro (Fe) (mg),Iodio (I) (µg),Zinco (Zn)  (mg),Selenio (Se) (µg)
"Sidro di mele, 4 vol%",Bevande alcoliche/Vino,per 100 ml,132,32,0.0,0.0,0.0,0.0,0,2.5,2.5,0.0,0.0,0.0,0.0,3.1,93.2,0,0,0,1,1,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.0,120.0,4.0,5.0,9.0,4.0,5.0,0.8,10.0,0.2,0.0
"Sidro di mele, 6.2 vol%",Bevande alcoliche/Vino,per 100 ml,269,64,0.0,0.0,0.0,0.0,0,7.3,7.3,0.0,0.0,0.0,0.0,5.0,86.9,0,0,0,1,1,0.0,0.0,0.01,0.1,0.01,1.0,0.03,0.0,0.0,97.0,2.0,5.0,5.0,4.0,9.0,0.3,10.0,0.2,0.0
"Siero di latte, dolce",Latte e prodotti di latte/Bevande a base di latte e yogurt,per 100 ml,102,24,0.2,0.1,0.1,0.0,1,4.7,4.7,0.0,0.0,0.8,0.1,0.0,93.6,3,3,3,0,0,0.04,0.14,0.04,0.2,0.2,1.0,0.4,1.0,0.0,130.0,45.0,67.0,68.0,8.0,40.0,0.1,8.0,0.1,0.0
"Sminuzzato/trito, a base di mycoproteina, crudo",Prodotti sostituti della carne,per 100 g di parte edibile,386,92,2.3,0.3,0.4,1.2,1,1.6,0.0,1.1,6.0,13.4,0.3,0.0,75.5,0,0,0,0,0,0.0,0.41,0.08,0.0,1.05,49.0,0.22,0.0,0.0,90.0,130.0,0.0,160.0,38.0,230.0,0.3,0.0,5.8,3.2
Snack Flips di arachidi,Snack salati/Altri snack salati,per 100 g di parte edibile,2120,507,24.2,4.4,11.7,6.9,0,56.5,0.0,0.0,4.9,13.2,1.9,0.0,1.5,26,13,0,156,156,0.18,0.04,0.13,0.0,3.26,17.0,0.6,0.0,0.0,170.0,770.0,1190.0,16.0,43.0,110.0,0.9,5.0,0.8,0.0
"Sogliola, cruda",Pesce/Pesci di mare,per 100 g di parte edibile,359,85,1.1,0.2,0.2,0.4,50,0.0,0.0,0.0,0.0,18.7,0.3,0.0,78.5,0,0,0,0,0,0.07,0.05,0.31,0.8,3.5,10.0,0.3,2.0,8.0,350.0,120.0,140.0,29.0,25.0,270.0,0.6,25.0,0.1,0.0
"Sorbetto, alla frutta",Dolciumi/Gelati a base di acqua,per 100 g di parte edibile,581,137,0.0,0.0,0.0,0.0,0,32.1,32.1,0.0,0.4,0.2,0.0,0.9,65.8,3,1,0,16,16,0.02,0.01,0.01,0.0,0.07,5.0,0.05,10.0,0.0,41.0,1.0,3.0,12.0,4.0,6.0,0.2,2.6,0.1,0.0
"Sostituto dello yogurt, a base di soia, con frutta o aromi",Latte e prodotti di latte/Prodotti sostituti del latte,per 100 g di parte edibile,344,82,1.8,0.3,0.4,1.0,0,12.2,10.9,0.9,1.4,3.4,0.1,0.0,80.8,4,3,2,10,10,0.04,0.04,0.06,0.0,0.1,19.5,0.16,0.5,0.5,81.0,31.0,0.0,0.0,19.0,86.0,0.5,5.0,0.1,10.0
"Sostituto dello yogurt, a base di soia, con frutta o aromi, arricchito di calcio",Latte e prodotti di latte/Prodotti sostituti del latte,per 100 g di parte edibile,344,82,1.8,0.3,0.4,1.0,0,12.2,10.9,0.9,1.4,3.4,0.1,0.0,80.8,4,3,2,10,10,0.04,0.04,0.06,0.0,0.1,19.5,0.16,0.5,0.5,81.0,31.0,0.0,120.0,19.0,86.0,0.5,5.0,0.1,10.0
"Sostituto dello yogurt, a base di soia, naturale",Latte e prodotti di latte/Prodotti sostituti del latte,per 100 g di parte edibile,187,45,2.2,0.4,0.5,1.1,0,1.5,0.6,0.0,1.5,4.0,0.1,0.0,90.4,15,9,2,80,80,0.04,0.04,0.04,0.0,0.16,26.2,0.16,0.5,0.5,79.0,33.0,9.1,13.0,22.0,27.0,0.4,10.0,0.1,10.0
"Sostituto dello yogurt, a base di soia, naturale, arricchito di calcio",Latte e prodotti di latte/Prodotti sostituti del latte,per 100 g di parte edibile,187,45,2.2,0.4,0.5,1.1,0,1.5,0.6,0.0,1.5,4.0,0.1,0.0,90.4,15,9,2,80,80,0.04,0.04,0.04,0.0,0.16,26.2,0.16,0.5,0.5,79.0,33.0,9.1,120.0,22.0,27.0,0.4,10.0,0.1,10.0
"Spezzatino (media di manzo, vitello, maiale e pollame), cotto in padella (senza aggiunta di grassi o sale)",Carne e frattaglie,per 100 g di parte edibile,633,150,3.8,1.2,1.5,0.5,81,0.1,0.0,0.0,0.0,28.9,0.2,0.0,67.2,5,5,4,3,3,0.33,0.18,0.49,0.84,6.75,4.9,0.94,0.0,0.7,370.0,62.0,83.0,8.6,26.0,230.0,1.0,1.9,3.0,0.0
"Spezzatino (media di manzo, vitello, maiale e pollame), crudo",Carne e frattaglie/Vitello;Carne e frattaglie/Maiale;Carne e frattaglie/Manzo;Carne e frattaglie/Pollame,per 100 g di parte edibile,498,118,3.3,1.0,1.4,0.4,59,0.1,0.0,0.0,0.0,22.0,0.1,0.0,74.6,4,4,4,3,3,0.35,0.14,0.54,0.8,6.01,4.7,0.83,0.0,0.6,340.0,53.0,60.0,6.4,22.0,200.0,0.8,1.4,2.3,0.0
"Spinaci, al vapore (senza aggiunta di sale)",Verdure/Verdure cotte (incl. conserve),per 100 g di parte edibile,129,31,0.8,0.1,0.0,0.4,0,1.6,0.1,0.1,2.3,3.3,0.2,0.0,92.0,672,336,0,4033,3913,0.08,0.24,0.24,0.0,0.65,74.5,0.26,36.9,0.0,660.0,77.0,120.0,130.0,110.0,58.0,1.9,15.0,0.7,0.6
"Spinaci, crudi",Verdure/Verdure fresche,per 100 g di parte edibile,104,25,0.6,0.1,0.0,0.4,0,1.3,0.1,0.1,1.9,2.6,0.2,0.0,91.1,568,284,0,3406,3304,0.07,0.2,0.21,0.0,0.62,94.4,0.23,51.0,0.0,590.0,69.0,100.0,100.0,89.0,46.0,1.8,12.0,0.6,0.4
"Spugnole, crude",Verdure/Funghi,per 100 g di parte edibile,119,29,0.3,0.1,0.0,0.2,0,0.5,0.1,0.0,7.0,2.5,0.0,0.0,90.0,0,0,0,0,0,0.13,0.06,0.05,0.0,5.0,25.0,2.5,5.0,3.1,390.0,2.0,8.0,11.0,16.0,160.0,1.2,10.0,0.5,0.0
"Spugnole, stufate  (senza aggiunta di sale)",Verdure/Funghi,per 100 g di parte edibile,139,34,0.4,0.1,0.0,0.2,0,0.6,0.1,0.0,8.5,2.8,0.0,0.0,88.5,0,0,0,0,0,0.12,0.06,0.05,0.0,4.88,18.3,2.5,4.5,3.8,370.0,2.1,9.3,13.0,16.0,190.0,1.2,12.0,0.5,0.0
Stelle alla cannella,Dolciumi/Biscotti,per 100 g di parte edibile,2110,505,25.9,2.0,15.6,5.7,0,50.9,50.3,0.3,5.6,14.2,0.1,0.0,5.6,0,0,0,2,2,0.08,0.51,0.07,0.04,0.96,28.6,0.27,0.6,0.0,400.0,47.0,78.0,150.0,120.0,250.0,2.2,1.1,1.7,2.6
Strutto,Grassi e oli/Grassi,per 100 g di parte edibile,3700,900,100.0,38.4,43.8,12.1,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0,4.0,0.0,0.0,0.0,0.0,9.7,0.1,0.0
Succo d'ananas,Frutta/Succhi di frutta,per 100 g di parte edibile,218,51,0.1,0.0,0.0,0.1,0,12.1,12.1,0.0,0.2,0.4,0.0,0.0,86.3,10,5,0,59,59,0.05,0.02,0.1,0.0,0.2,2.0,0.1,12.1,0.0,130.0,5.0,38.0,16.0,14.0,4.0,0.2,0.0,0.1,0.1
Succo d'arancia,Frutta/Succhi di frutta;Bevande analcoliche/Succhi di frutta e di verdura,per 100 ml,187,44,0.1,0.1,0.0,0.0,0,10.0,10.0,0.0,0.3,0.6,0.0,0.0,91.7,5,2,0,27,27,0.08,0.02,0.1,0.0,0.31,31.2,0.25,38.5,0.0,170.0,5.0,68.0,8.3,10.0,17.0,0.1,0.7,0.0,0.5
Succo d'uva,Frutta/Succhi di frutta;Bevande analcoliche/Succhi di frutta e di verdura,per 100 ml,302,71,0.1,0.0,0.0,0.0,0,17.3,17.0,0.0,0.1,0.3,0.0,0.0,87.3,1,0,0,5,5,0.02,0.03,0.05,0.0,0.31,5.3,0.05,1.7,0.0,120.0,4.0,3.0,8.8,8.9,13.0,0.5,0.5,0.1,4.2
Succo di carota,Bevande analcoliche/Succhi di frutta e di verdura;Verdure/Succhi di verdure,per 100 ml,138,33,0.1,0.0,0.0,0.0,0,6.8,4.8,0.0,0.9,0.7,0.1,0.0,90.6,995,498,0,5971,4578,0.06,0.06,0.2,0.0,0.4,4.0,0.23,7.0,0.0,270.0,35.0,420.0,24.0,13.0,39.0,0.5,15.0,0.1,0.0
"Succo di frutta diluito (media), senza aggiunta di zuccheri (60% succo, 40% acqua)",Bevande analcoliche/Succhi di frutta e di verdura,per 100 ml,133,31,0.1,0.0,0.0,0.0,0,7.4,6.9,0.0,0.1,0.2,0.0,0.0,92.3,1,1,0,8,8,0.02,0.01,0.03,0.0,0.12,7.5,0.06,7.3,0.0,74.0,4.0,11.0,7.4,4.8,7.0,0.2,0.4,0.0,0.0
"Succo di frutta, senza aggiunta di zucchero (media)",Frutta/Succhi di frutta;Bevande analcoliche/Succhi di frutta e di verdura,per 100 ml,221,52,0.1,0.0,0.0,0.0,0,12.3,11.6,0.0,0.2,0.4,0.0,0.0,87.1,2,1,0,14,14,0.03,0.02,0.05,0.0,0.2,12.6,0.09,12.1,0.0,120.0,6.0,18.0,7.7,7.4,12.0,0.3,0.7,0.1,1.2
Succo di limone,Frutta/Succhi di frutta;Bevande analcoliche/Succhi di frutta e di verdura,per 100 ml,122,28,0.2,0.0,0.0,0.0,0,2.5,2.5,0.0,0.3,0.4,0.0,0.0,92.3,0,0,0,1,1,0.02,0.02,0.05,0.0,0.09,20.0,0.13,38.7,0.0,100.0,1.0,4.0,6.0,6.0,8.0,0.1,0.6,0.1,0.1
Succo di mele,Frutta/Succhi di frutta;Bevande analcoliche/Succhi di frutta e di verdura,per 100 ml,212,50,0.1,0.0,0.0,0.0,0,11.9,11.3,0.0,0.2,0.2,0.0,0.0,91.9,1,1,0,7,7,0.01,0.0,0.04,0.0,0.04,7.0,0.05,7.4,0.0,120.0,14.0,2.0,4.5,4.7,6.9,0.3,1.0,0.0,0.1
Succo di pere,Frutta/Succhi di frutta;Bevande analcoliche/Succhi di frutta e di verdura,per 100 ml,222,52,0.3,0.0,0.1,0.1,0,12.1,10.0,0.0,0.0,0.5,0.0,0.0,90.5,3,1,0,17,17,0.03,0.03,0.01,0.0,0.19,9.0,0.05,3.0,0.0,110.0,2.0,2.0,10.0,7.0,11.0,0.2,0.8,0.1,0.0
Succo di pomodoro,Bevande analcoliche/Succhi di frutta e di verdura;Verdure/Succhi di verdure,per 100 ml,70,16,0.1,0.1,0.0,0.0,0,3.0,2.1,0.1,0.1,0.8,0.5,0.0,95.3,66,33,0,397,397,0.03,0.03,0.05,0.0,0.4,16.0,0.22,9.9,0.0,220.0,220.0,400.0,14.0,13.0,26.0,0.5,2.0,0.2,0.0
Surimi,Pesce/Prodotti della pesca,per 100 g di parte edibile,527,125,4.9,0.5,2.4,1.4,11,11.8,2.1,9.7,0.3,8.3,1.6,0.0,72.5,28,28,28,0,0,0.02,0.02,0.03,0.71,0.22,2.0,0.07,0.0,0.5,52.0,630.0,1010.0,19.0,12.0,44.0,0.4,10.0,0.2,9.2
"Taboulé, preparato (con Bulgur)",Cibi/Insalate,per 100 g di parte edibile,462,111,5.5,0.7,3.9,0.5,0,11.5,1.1,10.2,2.8,2.3,0.4,0.0,78.0,31,15,0,184,184,0.07,0.03,0.06,0.0,0.95,21.3,0.25,9.1,0.0,150.0,150.0,250.0,19.0,22.0,71.0,0.8,2.1,0.5,0.0
"Taboulé, preparato (con Couscous)",Cibi/Insalate,per 100 g di parte edibile,544,130,6.1,0.7,4.4,0.5,0,15.3,1.3,13.9,1.2,2.8,0.4,0.0,74.8,34,17,0,206,206,0.03,0.03,0.04,0.0,0.56,19.3,0.13,10.3,0.0,120.0,170.0,290.0,17.0,11.0,32.0,0.4,2.1,0.5,0.0
"Tacchino, petto, scaloppina o sminuzzato, cotto in padella (senza aggiunta di grassi o sale)",Carne e frattaglie/Pollame,per 100 g di parte edibile,590,139,1.3,0.3,0.3,0.3,50,0.0,0.0,0.0,0.0,31.8,0.2,0.0,66.9,3,3,3,0,0,0.11,0.13,0.3,0.5,9.93,5.4,0.86,0.0,0.0,400.0,72.0,0.0,11.0,35.0,240.0,0.9,2.0,2.4,12.0
"Tacchino, petto, scaloppina o sminuzzato, crudo",Carne e frattaglie/Pollame,per 100 g di parte edibile,457,108,1.3,0.3,0.3,0.3,37,0.0,0.0,0.0,0.0,24.0,0.2,0.0,73.5,3,3,3,0,0,0.12,0.1,0.4,0.57,9.19,8.0,0.8,0.0,0.0,330.0,63.0,0.0,7.9,32.0,210.0,0.7,1.5,1.8,8.9
"Taccole, al vapore (senza aggiunta di sale)",Verdure/Verdure cotte (incl. conserve),per 100 g di parte edibile,308,73,0.2,0.0,0.0,0.1,0,10.8,5.4,5.4,5.3,4.3,0.0,0.0,79.3,44,22,0,265,265,0.15,0.15,0.13,0.0,2.45,14.7,0.4,31.8,0.0,290.0,3.9,32.0,22.0,31.0,86.0,1.8,4.3,0.3,0.0
"Taccole, crude",Verdure/Verdure fresche,per 100 g di parte edibile,285,68,0.2,0.0,0.0,0.1,0,10.0,5.0,5.0,5.0,4.0,0.0,0.0,79.6,43,22,0,259,259,0.16,0.15,0.13,0.0,2.7,21.6,0.41,37.4,0.0,300.0,4.0,30.0,20.0,30.0,80.0,2.0,4.0,0.3,0.0
"Té freddo, zuccherato",Bevande analcoliche/Bevande zuccherate;Bevande analcoliche/Tè,per 100 g di parte edibile,128,30,0.0,0.0,0.0,0.0,0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,92.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.09,4.6,0.0,0.0,0.0,18.0,0.0,1.0,0.1,0.9,0.9,0.0,0.9,0.0,0.0
"Té, non zuccherato",Bevande analcoliche/Tè,per 100 ml,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,5.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Terrina di cacciagione,Carne e frattaglie/Selvaggina,per 100 g di parte edibile,1010,242,18.7,7.4,8.0,2.0,107,1.6,1.4,0.1,0.1,16.4,2.2,0.3,62.9,1469,1468,1467,10,10,0.15,0.61,0.2,4.91,3.63,16.1,1.24,44.8,0.1,160.0,870.0,1300.0,14.0,14.0,150.0,4.0,3.5,2.4,0.0
"Timo, fresco",Verdure/Erbe aromatiche,per 100 g di parte edibile,219,52,1.2,0.6,0.1,0.3,0,7.3,7.2,0.1,3.0,1.5,0.0,0.0,85.0,475,238,0,2851,2851,0.08,0.07,0.15,0.0,0.8,19.5,0.0,0.0,0.0,130.0,9.0,32.0,310.0,36.0,32.0,20.0,1.0,1.0,0.0
"Tofu, affumicato (media)",Prodotti sostituti della carne,per 100 g di parte edibile,684,164,9.5,1.5,2.0,5.6,0,2.9,0.9,0.4,0.5,16.4,1.0,0.0,71.5,1,0,0,5,5,0.08,0.05,0.05,0.02,0.41,16.4,0.14,0.5,0.3,190.0,390.0,570.0,130.0,110.0,230.0,2.3,0.0,1.5,1.4
"Tofu, affumicato (prodotto con nigari)",Prodotti sostituti della carne,per 100 g di parte edibile,684,164,9.5,1.5,2.0,5.6,0,2.9,0.9,0.4,0.5,16.4,0.7,0.0,72.4,1,0,0,5,5,0.08,0.05,0.05,0.02,0.41,16.4,0.14,0.5,0.3,170.0,280.0,570.0,66.0,130.0,230.0,2.2,0.0,1.4,0.8
"Tofu, affumicato (prodotto con sale di calcio)",Prodotti sostituti della carne,per 100 g di parte edibile,684,164,9.5,1.5,2.0,5.6,0,2.9,0.9,0.4,0.5,16.4,1.4,0.0,70.2,1,0,0,5,5,0.08,0.05,0.05,0.02,0.41,16.4,0.14,0.5,0.3,210.0,550.0,570.0,230.0,65.0,230.0,2.5,0.0,1.6,2.2
"Tofu, setoso (morbido), al naturale",Prodotti sostituti della carne,per 100 g di parte edibile,223,53,2.9,0.5,0.7,1.6,0,1.5,1.1,0.0,0.6,5.0,0.0,0.0,87.6,1,0,0,5,0,0.08,0.02,0.04,0.0,0.4,24.2,0.17,0.0,0.0,170.0,17.0,110.0,49.0,58.0,98.0,1.0,0.7,0.6,1.1
"Tofu, solido, al naturale (media)",Prodotti sostituti della carne,per 100 g di parte edibile,617,148,8.5,1.4,1.9,4.8,0,2.9,0.6,0.0,0.0,14.7,0.1,0.0,75.1,1,0,0,5,0,0.06,0.03,0.04,0.0,0.28,25.1,0.11,0.0,0.0,150.0,35.0,75.0,120.0,100.0,200.0,2.0,6.0,1.3,1.5
"Tofu, solido, al naturale (prodotto con nigari)",Prodotti sostituti della carne,per 100 g di parte edibile,617,148,8.5,1.4,1.9,4.8,0,2.9,0.6,0.0,0.0,14.7,0.1,0.0,75.2,1,0,0,5,0,0.03,0.01,0.05,0.0,0.28,25.1,0.07,0.0,0.0,140.0,51.0,75.0,72.0,130.0,210.0,2.0,6.0,1.4,1.2
"Tofu, solido, al naturale (prodotto con sale di calcio)",Prodotti sostituti della carne,per 100 g di parte edibile,617,148,8.5,1.4,1.9,4.8,0,2.9,0.6,0.0,0.0,14.7,0.0,0.0,74.9,1,0,0,5,0,0.06,0.03,0.04,0.0,0.28,25.1,0.11,0.0,0.0,170.0,2.0,75.0,220.0,49.0,180.0,2.0,6.0,1.2,2.2
Tomino ,Latte e prodotti di latte/Formaggio a pasta molle,per 100 g di parte edibile,1180,284,22.5,13.5,5.3,1.0,68,0.0,0.0,0.0,0.0,20.3,1.8,0.0,55.0,191,183,175,100,100,0.01,0.4,0.18,1.8,0.12,24.0,0.36,0.0,0.2,76.0,720.0,980.0,290.0,18.0,230.0,0.1,0.0,1.9,0.0
"Tonno, crudo",Pesce/Pesci di mare,per 100 g di parte edibile,627,149,6.2,1.8,1.6,2.2,38,0.0,0.0,0.0,0.0,23.4,0.1,0.0,69.0,372,372,372,0,0,0.22,0.12,0.6,6.8,9.0,15.0,0.9,0.0,4.2,330.0,39.0,140.0,28.0,34.0,200.0,1.1,50.0,0.8,0.0
"Tonno, in salamoia, sgocciolato",Pesce/Pesci di mare,per 100 g di parte edibile,494,117,1.6,0.5,0.4,0.5,54,0.0,0.0,0.0,0.0,25.6,1.0,0.0,72.0,372,372,372,0,0,0.02,0.07,0.37,3.0,11.2,7.0,0.3,0.0,2.2,280.0,420.0,0.0,9.0,28.0,160.0,1.6,0.0,0.7,0.0
"Tonno, sott'olio, sgocciolato",Pesce/Pesci di mare,per 100 g di parte edibile,780,186,8.4,1.5,2.6,3.7,33,0.0,0.0,0.0,0.0,27.6,0.9,0.0,62.4,6,6,6,0,0,0.02,0.1,0.52,5.0,14.0,5.0,0.3,0.0,2.4,270.0,350.0,0.0,10.0,33.0,200.0,1.2,43.0,0.6,0.0
"Topinambur, cotto (senza agguinta di sale)",Verdure/Verdure cotte (incl. conserve),per 100 g di parte edibile,213,52,0.4,0.1,0.0,0.2,0,3.8,3.8,0.0,11.8,2.3,0.0,0.0,81.7,7,3,0,40,40,0.08,0.04,0.06,0.0,0.96,17.9,0.28,3.1,0.0,250.0,1.0,46.0,24.0,9.9,64.0,0.2,0.1,0.2,0.1
"Topinambur, crudo",Verdure/Verdure fresche,per 100 g di parte edibile,221,54,0.4,0.1,0.0,0.2,0,4.0,4.0,0.0,12.1,2.4,0.0,0.0,79.3,7,4,0,42,42,0.1,0.06,0.08,0.0,1.3,34.0,0.44,7.3,0.0,530.0,1.7,49.0,24.0,16.0,68.0,0.3,0.1,0.2,0.2
"Torta ai pomodori, cotta nel forno (pasta per torta)",Cibi/Torte dolci e salate e gratin,per 100 g di parte edibile,659,158,10.1,5.6,2.5,0.7,61,12.3,2.5,9.6,1.1,3.9,0.4,0.0,72.7,141,117,93,286,286,0.06,0.07,0.08,0.16,0.37,12.2,0.32,10.0,0.4,190.0,140.0,230.0,33.0,12.0,65.0,0.6,6.0,0.4,0.0
"Torta ai pomodori, cotta nel forno (pasta sfoglia)",Cibi/Torte dolci e salate e gratin,per 100 g di parte edibile,646,155,11.0,6.2,2.7,0.8,63,10.0,2.5,7.3,1.0,3.5,0.4,0.0,74.6,150,125,101,289,289,0.05,0.07,0.07,0.16,0.36,11.9,0.31,10.0,0.4,180.0,150.0,240.0,33.0,11.0,61.0,0.5,6.0,0.4,0.0
"Torta ai spinaci, cotta nel forno (pasta per torta)",Cibi/Torte dolci e salate e gratin,per 100 g di parte edibile,725,174,10.8,5.7,2.9,0.9,43,12.5,1.0,10.7,1.7,5.8,1.1,0.0,69.3,378,230,82,1773,1773,0.09,0.16,0.14,0.1,0.59,28.5,0.33,14.0,0.3,370.0,440.0,730.0,85.0,54.0,80.0,1.3,11.0,0.8,0.0
"Torta ai spinaci, cotta nel forno (pasta sfoglia)",Cibi/Torte dolci e salate e gratin,per 100 g di parte edibile,713,171,11.6,6.2,3.1,0.9,46,10.4,1.0,8.6,1.6,5.5,1.1,0.0,71.0,386,238,90,1776,1776,0.09,0.16,0.13,0.1,0.58,28.2,0.32,14.0,0.3,360.0,450.0,730.0,85.0,54.0,77.0,1.3,11.0,0.8,0.0
Torta al burro,"Dolciumi/Dolci, torte e cake",per 100 g di parte edibile,1800,430,24.7,13.7,6.1,1.7,158,44.7,26.6,17.9,0.8,6.9,0.2,0.0,23.2,256,248,240,97,97,0.09,0.1,0.07,0.38,0.1,24.2,0.83,1.5,1.1,99.0,68.0,98.0,21.0,13.0,94.0,0.9,12.0,0.7,7.3
"Torta al formaggio, cotta nel forno (pasta per torta)",Cibi/Torte dolci e salate e gratin,per 100 g di parte edibile,1260,303,20.8,11.8,5.1,1.3,122,14.5,1.2,13.1,0.6,14.3,0.9,0.0,49.8,199,192,185,81,81,0.05,0.23,0.08,0.74,0.16,10.2,0.61,0.2,0.9,130.0,370.0,570.0,360.0,23.0,290.0,0.7,14.0,2.0,0.0
"Torta al formaggio, cotta nel forno (pasta sfoglia)",Cibi/Torte dolci e salate e gratin,per 100 g di parte edibile,1250,300,21.9,12.4,5.4,1.3,125,11.7,1.2,10.3,0.5,13.8,0.9,0.0,52.1,210,203,196,86,86,0.05,0.23,0.07,0.74,0.15,9.9,0.59,0.2,0.9,130.0,380.0,570.0,360.0,22.0,290.0,0.7,14.0,2.0,0.0
Torta al Kirsch di Zugo,"Dolciumi/Dolci, torte e cake",per 100 g di parte edibile,1400,335,18.7,8.5,7.5,1.6,90,34.6,27.0,7.6,1.5,4.8,0.2,0.9,38.8,145,138,132,75,75,0.04,0.12,0.04,0.0,0.4,9.0,0.28,0.3,1.0,140.0,62.0,73.0,67.0,25.0,120.0,0.8,4.2,0.6,0.0
"Torta alle cipolle, cotta nel forno (pasta per torta)",Cibi/Torte dolci e salate e gratin,per 100 g di parte edibile,714,171,10.1,5.4,2.7,0.7,41,14.6,3.6,10.1,1.6,4.7,0.9,0.0,69.1,85,81,78,40,40,0.07,0.06,0.08,0.09,0.31,10.6,0.27,2.8,0.3,140.0,380.0,660.0,33.0,12.0,65.0,0.4,4.5,0.5,0.0
"Torta alle cipolle, cotta nel forno (pasta sfoglia)",Cibi/Torte dolci e salate e gratin,per 100 g di parte edibile,703,169,10.9,5.9,2.9,0.7,44,12.6,3.6,8.1,1.5,4.3,1.0,0.0,70.7,93,89,85,43,43,0.06,0.06,0.07,0.09,0.3,10.3,0.26,2.8,0.3,140.0,380.0,660.0,33.0,11.0,62.0,0.4,4.5,0.5,0.0
"Torta d'albicocca, fatta in casa, cotta nel forno (pasta sfoglia)","Dolciumi/Dolci, torte e cake;Cibi/Torte dolci e salate e gratin",per 100 g di parte edibile,582,139,6.7,3.0,2.6,0.7,18,16.1,6.2,8.3,1.5,2.8,0.3,0.0,73.0,225,117,8,1302,1267,0.04,0.04,0.05,0.08,0.27,5.2,0.27,2.0,0.1,200.0,110.0,170.0,24.0,8.8,40.0,0.3,3.2,0.2,1.5
"Torta di albicocca, fatta in casa, cotta nel forno (pasta per torta)","Dolciumi/Dolci, torte e cake;Cibi/Torte dolci e salate e gratin",per 100 g di parte edibile,592,141,6.5,2.9,2.5,0.7,18,16.8,6.2,9.0,1.5,3.0,0.2,0.0,72.2,219,114,8,1267,1267,0.04,0.05,0.06,0.08,0.28,5.1,0.28,2.0,0.1,200.0,88.0,140.0,24.0,12.0,48.0,0.4,3.2,0.3,1.6
Torta di carote,"Dolciumi/Dolci, torte e cake",per 100 g di parte edibile,1270,303,16.4,1.8,9.2,3.5,92,25.8,19.6,5.6,3.9,11.1,0.2,0.0,43.9,307,165,23,1703,1703,0.08,0.32,0.08,0.34,0.62,35.9,0.72,2.8,0.7,310.0,65.0,98.0,100.0,71.0,200.0,1.8,11.0,1.3,0.0
"Torta di ciliegie, fatta in casa, cotta nel forno (pasta per torta)","Dolciumi/Dolci, torte e cake;Cibi/Torte dolci e salate e gratin",per 100 g di parte edibile,643,153,6.7,3.0,2.5,0.8,18,19.5,8.4,9.0,1.5,3.0,0.2,0.0,69.5,14,11,8,33,33,0.04,0.05,0.05,0.08,0.16,5.2,0.25,2.3,0.1,160.0,89.0,140.0,21.0,12.0,46.0,0.4,3.7,0.3,1.6
"Torta di ciliegie, fatta in casa, cotta nel forno (pasta sfoglia)","Dolciumi/Dolci, torte e cake;Cibi/Torte dolci e salate e gratin",per 100 g di parte edibile,633,151,6.9,3.0,2.7,0.8,18,18.8,8.4,8.3,1.4,2.8,0.3,0.0,70.2,14,11,8,37,33,0.04,0.05,0.04,0.08,0.16,5.4,0.24,2.3,0.1,150.0,110.0,170.0,20.0,9.1,38.0,0.3,3.7,0.2,1.6
Torta di frutta (in media),"Dolciumi/Dolci, torte e cake;Cibi/Torte dolci e salate e gratin",per 100 g di parte edibile,695,166,8.4,3.9,3.0,1.0,19,18.3,8.0,9.6,2.6,3.0,0.2,0.0,67.8,44,32,21,137,137,0.04,0.05,0.04,0.07,0.25,7.3,0.32,7.3,0.1,170.0,80.0,140.0,32.0,13.0,46.0,0.4,3.0,0.3,0.0
